lat,lon,sub_area,area
23.875062682080557,90.38459693769772, Sector 11,Uttara
23.86802892817237,90.38560569107244, Sector 14,Uttara
23.868053042282487,90.38559749117621, Sector 14,Uttara
23.873910099999968,90.37975160000002, Sector 12,Uttara
23.87482605396451,90.38424361762793, Sector 11,Uttara
23.868339782732473,90.38710560458878, Sector 14,Uttara
23.873959500000012,90.3796997, Sector 12,Uttara
23.874635097092852,90.38418505807681, Sector 11,Uttara
23.86802692436313,90.38834387322873, Sector 14,Uttara
23.867519888511985,90.38873562368707, Sector 14,Uttara
23.86738281739769,90.38866634387472, Sector 14,Uttara
23.873602000000023,90.37994779999997, Sector 12,Uttara
23.874844148999774,90.38906149998695, Sector 11,Uttara
23.867262994613714,90.38867120805173, Sector 14,Uttara
23.873167700000018,90.37978550000003, Sector 12,Uttara
23.874693560741775,90.38883647271473, Sector 11,Uttara
23.873211299999998,90.37982499999998, Sector 12,Uttara
23.867495862826175,90.38839117406047, Sector 14,Uttara
23.874691919441723,90.38880393588715, Sector 11,Uttara
23.874692273747918,90.38877781548086, Sector 11,Uttara
23.873183200000003,90.3799957, Sector 12,Uttara
23.8746917513568,90.38875429080832, Sector 11,Uttara
23.867884772850267,90.38739178357947, Sector 14,Uttara
23.874692296921847,90.38872488009758, Sector 11,Uttara
23.873184900000005,90.38002219999998, Sector 12,Uttara
23.87227791,90.38012228, Sector 12,Uttara
23.874827855417426,90.38890846595905, Sector 11,Uttara
23.870349462562096,90.38012848337928, Sector 12,Uttara
23.870380999999984,90.38028589999998, Sector 12,Uttara
23.87554421650058,90.38335725238399, Sector 12,Uttara
23.87573901887392,90.38336668878095, Sector 12,Uttara
23.867863500000002,90.40515970000001, Sector 4,Uttara
23.867928063818624,90.40431182666697, Sector 4,Uttara
23.86708457706314,90.40435085437844, Sector 4,Uttara
23.86561933336125,90.39443457942484, Sector 3,Uttara
23.86576828460079,90.39514952914885, Sector 3,Uttara
23.865440093510216,90.39513624491474, Sector 3,Uttara
23.86556897477586,90.40393599282305, Sector 4,Uttara
23.864635100000022,90.3948322, Sector 3,Uttara
23.8646459115615,90.39492584571411, Sector 3,Uttara
23.86514933151206,90.40483118870753, Sector 4,Uttara
23.865029300360913,90.4047075677122, Sector 4,Uttara
